text,binary_label,language,source,media
", ¿Sabrán las femiorcas como y todo el flaiterio mapuchento , que si hay una cultura y sociedad absolutamente hetero patriarcal, de un machismo extremo, es justamente la mapuche?",1,es,ES_chileno,twitter
Siiii jajajajaja no hay nadie q se salve… todos flaites!,1,es,ES_chileno,twitter
jajajjjjjjjjjjjjjjjjjjj NUEVA ORDEN MUNDIAL😝😂😜☺️😝😂 DICE LA GUATONA GRASOSA QUE NADIE TIENE QUE TENER CASA PROPIA ? GORDA PICANTE !!! ELLAS ROBAN Y SE DROGAN 😏😫😫😫😜☺️😝😂😂😂😂😂😂,1,es,ES_chileno,twitter
es tirana...lobo con traje de oveja...déspota...siembra odio...ofende a medio mundo sin límites pero cuestiónala y te bloquea...SIMPLE PROFESORA sin post grado ni nada y CREE DIOS...típico de la derecha IGNORANTE...y soy de derecha...que tal?,1,es,ES_chileno,twitter
"Molecular? Pero si los de derecha son gente re ignorante, re cavernicolas, para qué ocupan terminologías q no entienden? XD",1,es,ES_chileno,twitter
"Quiero mi 100% protegido de la izquierda ignorante, indolente, cortoplacista, populista, fracasada e improvisadora.",1,es,ES_chileno,twitter
"Que ignorante que eres, que clase de educación recibiste, si con esa cara que tienes no tienes para nada de europeo, solo tienes cara de simio, ignorante. Disculpen a los simios si los ofendí 😎.",1,es,ES_chileno,twitter
Que tipo más ignorante y con un lenguaje discriminatorio de los pueblos originarios y además él se cree migrante europeo… picante de mierda europeista… se la cree de verdad …. Jaajajaj no le alcanza ni para comprar las vacunas que necesita …,1,es,ES_chileno,twitter
Cállate típico de progre ignorante,1,es,ES_chileno,twitter
"Es el nivel que le fascina al tercer mundo; pupulista, ignorante a más no poder, iletrado, grandilocuente...un comunista de tomo y lomo.",1,es,ES_chileno,twitter
"Cómo no le da vergüenza, quería meter patriarcado y primera línea en una oración y lo que logró es demostrar que no sabe nada, una ignorante más del zurderío y van... mamita qué nos espera...",1,es,ES_chileno,twitter
"fa los comunistas son nefastos pero no son ignorante, ahora la miseria del pc es que utilizan a estos tipos...",1,es,ES_chileno,twitter
Todos contra la marxista ignorante Karina . No queremos mas comunistas como autoridades .,1,es,ES_chileno,twitter
Esta es la izquierda ignorante y mala clase,1,es,ES_chileno,twitter
"Este profe es de el viejo comunismo, el real, el que desprecia a los gays, las religiones, el que es xenofogo, el que es completamente ignorante de la economía, etc. Se muestra al mundo como realmente son los comunistas.",1,es,ES_chileno,twitter
"Ese es el problema actual. Los ignorantes no están a favor del comunismo, ni saben qué es. Están en contra del empresario y los zurdos se hicieron cargo del discurso de odio y resentimiento. Ese es el voto fácil, el del ignorante que no lee ni estudia.",1,es,ES_chileno,twitter
"DESPUES DE LEER TU RESPUESTA UNO SE DA CUENTA QUE EL PUEBLO REALMENTE ES QEVON Y TE DIGO MAS , IGNORANTE Y TITERES DEL FRACASO LE ES MAS FACIL ESTIRAR LA MANO QUE TRABAJAR O PRODUCIR ,VAGO QLIAO",1,es,ES_chileno,twitter
"Desgraciadamente Eso porque los zurdos ofrecen, prometen maravillas son ningún esfuerzo Llenando de ilusiones y esperanzas a la gente más ignorante En cambio en la Verdadera derecha Sabemos q cada uno recibe lo que siembra Y es responsable de su propio futuro",1,es,ES_chileno,twitter
"La derecha siempre se despreocupa de la educación, y abandona a la gente ignorante a los lobos socialistas, se preocupa muy tarde cuando ya los lobos están en faena de miseria.",1,es,ES_chileno,twitter
"Estos Comunistas son pura verborrea, mienten, prometen pero no concretan nada!! Populista ignorante.",1,es,ES_chileno,twitter
"Yo diría que hasta sería bueno que Jadue ganara, para que la realidad le demostrara a tantos ignorantes la verdadera cara de la extrema izquierda; pero luego me acuerdo del relato victimista que se ha construido en torno a Allende y me doy cuenta de que es inútil.",1,es,ES_chileno,twitter
"Mmm, yo lo diria como, miedosos vs ignorantes.",1,es,ES_chileno,twitter
"Está #IzquierdaMiserable lo único que está buscando es un pinocho 2, espero que está vez se proscriba el PC , FA y PS son la miseria y manipulan a los ignorantes para robar y corromper el país. Les informo que el las FFAA no se van a prestar para el show comunista 🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱",1,es,ES_chileno,twitter
Son ignorantes? ..... si eso que si!,1,es,ES_chileno,twitter
"Son las ""vístimas ignorantes y huevonas del comunismo"". Creerles a esos criminales es el colmo. Jadue otro alcaducho, otro ladrón .",1,es,ES_chileno,twitter
"LOS TONTOS ÚTILES SON LOS QUE ANDAN INFECTANDO. ""CONTAGIO POR AEROSOL"" ESTUDIEN IMBECILES COMUNISTAS IGNORANTES !!! NIÑOS LADRONES CRISTALES, AHORA YA NO ROBARÁN NUNCA MÁS. NI SIQUIERA PODRÁN LLEGAR AL INFIERNO LOS ""HÉROES SIN VACUNARSE""",1,es,ES_chileno,twitter
"Estos flojos de la extrema izquierda FA y PC, son tan ignorantes q no saben q hay q TRABAJAR para surgir. #ChileNoCaerá 🇨🇱🌟🇨🇱🌟🇨🇱🌟🇨🇱",1,es,ES_chileno,twitter
"Los políticos a lo q mas le temen es a la educación, mientras mas educada esté la población menos poder tienen los políticos. Q no les vendan la falacia q quieren educación gratuita y de calidad, los políticos nos quieren ignorantes para controlarnos...",1,es,ES_chileno,twitter
"Dios nos dio discernimiento para que nosotros podamos decidir nuestro futuro , si este domingo no salen a votar, es porque no entienden nada . Un montón de ignorantes ,votar por un comunista es como adorar a Lucifer y olvidarse del creador . Sld",1,es,ES_chileno,twitter
"No olvidar los sueldos de los funcionarios del congreso, la mayoría ignorantes mafiosos con sueldos estratosféricos, como el mafioso corrupto de landeros. De hecho, es un intocable.",1,es,ES_chileno,twitter
"Mucha ignorancia en Venezuela, creen que ser gay es símbolo de pedofilia. Los aberrados sexuales TAMBIÉN son los mismos que piensan que los gays no pueden amar o tener vida propia, todo lo llevan al sexo. Son unos IGNORANTES!",1,es,ES_chileno,twitter
Todos los de IZQUIERDA SON Y SERAN IGNORANTES,1,es,ES_chileno,twitter
"La derecha lleva años robándole a todos los Chilenos y ahora se desesperan, andan sembrando el terror, creen q el comunismo se va apropiar de todo la plata y eso no lo pueden permitir; eso no pasará, nadie va a nacionalizar, expropiar, relájense, y eduquese,quedan de ignorantes",1,es,ES_chileno,twitter
"Como la mayoría de estos ignorantes con piel de oveja que cautivan con promesas de humo a gente con cero información y creen qué hay que ir contra los ricos , pues la Mayoría de estos ricos se esfuerzan en dar trabajo y claro es más fàcil destruir que crear .",1,es,ES_chileno,twitter
Es imposible escuchar eso!!! Para ellos recursos= riqueza. Por ello son un grupo de monos ignorantes destructores de sociedades. La evidencia empírica lo demuestra #NoAlComunismo,1,es,ES_chileno,twitter
"Aparte de Ignorante... Como todo Comunista te dice que No es Negro, pero si de un color muy Oscuro.. Estatizar: Manejado por el Estado.. Nacionalizar : todo lo referente al Patrimonio Nacional, manejado por el Estado.. 🤔🤔 Comunistas Ladrones, Suci@$.. IGNORANTES HDP..",1,es,ES_chileno,twitter
"De la misma forma q llegó Bachelet, Piñera y el resto de políticos, con votos de ignorantes q creen en sus mentiras",1,es,ES_chileno,twitter
"Nadie es más experto en sembrar el odio que la izquierda, sólo así consiguen lo que quieren . Promueven las masas de ignorantes y flojos con falsas promesas , qué sólo un zurdo puede comprar ..",1,es,ES_chileno,twitter
"Tú misma escritura los dice todo, ""éstos indígenas"". Tú mísmo escribes con superioridad de ""raza"" sobre nosotros los Chubakas. El Europeo es de Europa y el indígena es de Chile. Lo quieras o no, los ALLEGADOS Y ARRIMADOS VIOLADORES Y LADRONES son Ustedes.",1,es,ES_chileno,twitter
"Para que vamos a andar con cosas, en la UBA entre broma y broma escuche varias veces eso que descienden de los barcos. Una vez en Historia Socio Política Argentina, preguntaron quien creía tener descendía indígena, solo levantamos la mano l-s d-s chilen-s.",1,es,ES_chileno,twitter
"Pobre Perú, parece inminente, fraude de por medio, que el indígena comunista, será su próximo presidente. Empresas chilenas, empiecen a hacer maletas",1,es,ES_chileno,twitter
"Este indio da susto, que aprenda a escribir primero, no esta ni pa zombie, sino peor.",1,es,ES_chileno,twitter
Ese es mi compa indio..del norte 🤣🤣🤣,1,es,ES_chileno,twitter
"😂😂 les sacaron la cresta al indio y a la india, notable!!",1,es,ES_chileno,twitter
"😂😂😂 pero Evo Morales no es indio, es un ""auquénido metamorfoseado""",1,es,ES_chileno,twitter
"España con sus intereses en tierras Mapuche, sobre el mapuche, El índio Bárbaro sin Dios Ni ley, Su subyugación o Eliminación. En palabras de hoy ""Terrorísta"". Chile Hoy, Índio flojo, todos ""terroristas"". Cual es el dilema de la gente re-culi* de DECIDIR que hago con mis cosas?",1,es,ES_chileno,twitter
Ordinario picante tu no eres viñamarino no cara de indio. Con tus lentes poto botella yo con mis lindos ojos azules,1,es,ES_chileno,twitter
"No. Error tras error. La derecha debe saber que ya está perdida y las acciones son otras más agresivas, con sus propios indios, no prestados.",1,es,ES_chileno,twitter
Somos indios latinos con guitarra electrica y comunicados a traves de internet ...,1,es,ES_chileno,twitter
"La embarró ese tipo XD!!! 😱😱😱. Brasil vienen de la Selva, México son indios ¿en q planeta lo parieron a este tipo? Ups perdón, verdad q ellos venían en Barco desde Europa a Argentina🤣🤣🤣🤣",1,es,ES_chileno,twitter
