text,binary_label,platform,audit_source,is_abusive,note
"I’m sad. There seems to be so little positive progress since I was at school, found it so humiliating and bullies given carte Blanche. We could at least bunk off our PE lessons, led to more skipping school classes though.",1,twitter,English_CB,n,
"@comattwow @sweharris look dude, i want to be nice to you, but FUCK OFF. you got harassed by a spam bot. leave me alone.",1,twitter,English_CB,y,
"RT @devynexoxo: lololololol. how cute. #4MoreYearsBITCH RT ""@tayyoung_: FUCK OBAMA, dumb ass nigger""",1,twitter,English_CB,y,
"and you are a dumb ass for that statement “@tayyoung_ FUCK OBAMA, dumb ass nigger”",1,twitter,English_CB,y,
Go Niner's! I'm really getting tired of this bullshit. Favre has always seemed like an asshole to me. Seems like he could have been a bully in school.,1,twitter,English_CB,n,
"I've just arrived home, I am wearing my pajamas and I am about to listen to Harry's song so I may die bc Skam has already fucked me up!",1,twitter,English_CB,n,
This is how even the #ISIS #Jihad #TerrorCamps alter humanity and create so called #terrorist Willing to be a #SuicideBomber,1,twitter,English_CB,y,
"You mad? *shrugs* #2Termssssss “@tayyoung_: FUCK OBAMA, dumb ass nigger”",1,twitter,English_CB,y,
Hmmmm Muslims-Jihadis-Terrorists who r Invaders-Traitors-Predators-Barbarians BLEEDING Hindus-Hindusthanis-Humanity since CENTURIES r asking Accountability Hindus-Hindusthanis r awakening &amp; soon we wl witness the CREMATION of Ghazwa-e-Hind Dar-ul-Harb JIHAD @HMOIndia,1,twitter,English_CB,y,
"What is a female? female what? Female dog, female cat? Female is usually used to describe the sex of an animal. Female is an adjective not a noun. We don’t call men males. It’s disrespectful and just another way to say bitch. We are women or ladies not females.",1,twitter,English_CB,n,
"@sanacardi @letat_lechat Sanders said ""I'm sick of talking about your damned emails""",1,twitter,English_CB,n,
Neurodivergent people as well. Y’all are some real middle school bullies.... like grow up... have a heart.. some empathy...,1,twitter,English_CB,n,
@BOSS_NIGGER no it don't it stands for millionaire u dumb fuck,1,twitter,English_CB,y,
U SOLD OUT PRESS FOR WAHABI ISLAMIC TERRORISM OPENLY FUNDED BY QATAR WHICH UR NGO SHARES,1,twitter,English_CB,n,
For troubled Christians who are deeply disturbed with the direction of the far right Radical evangelicals that support the most corrupt unprincipled leader we have ever witnessed this is a thought provoking read.,1,twitter,English_CB,n,
I can’t think of much of anything past the juxtaposition of Lori Lightfoot’s praise of John Lewis today and her deployment of CPD against Black and Brown youth yesterday.,1,twitter,English_CB,n,
"@jncatron And the Muslims want to destroy Israel because they are racists, not because of the land, which is tiny.",1,twitter,English_CB,y,
RT @TRobinsonNewEra: ONE MILLION or more illegal alien Muslim invaders set to flood into Italy and the rest of Euro…,1,twitter,English_CB,y,
For context. Their last video was just a gay/rape joke. That's it. That was everything in the video.,1,twitter,English_CB,n,
@harmlesstree2 Like the Ottoman Empire was a pure slave state.,1,twitter,English_CB,y,
"How could anyone make rape, gay, racist, sexist, suicide/homicide jokes expecting a laugh?",1,twitter,English_CB,n,
LOL @THE GIRL WHO BULLIED ME IN HIGH SCHOOL TRYING TO SLIDE INTO MY DMS THE WAY THE TURNS HAVE TABLED BITCH,1,twitter,English_CB,n,
@SetSenses Fuck off you dumb cunt nigger,1,twitter,English_CB,y,
I was liked well enough. Bullied and called a f*g by the homophobes but people liked me just fine in general. Still friends with some people from high school today. They like me more now as a girl tho lol,1,twitter,English_CB,n,
Fuck u dm me for! N not answer back dumb niggers,1,twitter,English_CB,y,
"White supremacy is built on making Caucasians desirable and negros and natives undesirable. Ima fight that. What im into we say so called negros, Latinos and native Americans are the same people. And our school is full of all of us.",1,twitter,English_CB,n,
I absolutely would have been bullied by VSCO girls in high school. I would have never been in charge of my hydration like that!!!,1,twitter,English_CB,n,
Disgusting did you hear that black person saying that the wrong nigger we would end up in court for saying anything like that,1,twitter,English_CB,y,
The logic some of yall have is wild. Nobody laughed at your joke so clearly your audience enjoys rape jokes and Gay jokes instead. Smh jebus,1,twitter,English_CB,y,
@eDRoaCH @orvtech this isn't de-anonymizing. the phone # wouldn't necessarily be stored. no names would be required.,1,twitter,English_CB,n,
"RT @jcantrell12: For the record, I'm not sexist. But if you can prove me wrong about female comedians, I'll make a formal apology to the wo…",1,twitter,English_CB,y,
"@VCR_Blog #BlameOneNotAll for all feminist's talk of not hating men,they sure come out in force when men dare speak about what affects em.",1,twitter,English_CB,n,
"Over the next nine years, Parker grew to be extremely bright in science and became a high honors student at Midtown High School. Parker's shyness and scholastic interest often made him a social outcast and a target for bullies, primarily football star Eugene ""Flash"" Thompson.",1,twitter,English_CB,n,
"@informationchef hmm. using grafana, and it's giving me errors.",1,twitter,English_CB,n,
Fuck Riko and Jade dumb niggers — Ok,1,twitter,English_CB,y,
Like a high school LAN party but for abusing civilians with tax-funded military equipment,1,twitter,English_CB,y,
"LMAOO don’t throw shade in the first sentence & end with “let’s each other” like, high school bully much???",1,twitter,English_CB,y,
"My sis was a good kid, but she had issues into High School. Once she had gotten into a serious fight with a girl who decided to bully her. Nikki (my sis) won the fight and put her in line, but Principal Victoria was /pissed/, especially when my Dad said he wasn’t upset with Nikki",1,twitter,English_CB,n,
this girl bullied me so bad in high school i had to be moved to completely different classes so i wasn’t in any lessons with her. Tea,1,twitter,English_CB,n,
"RT @jemfleming: @riwired @GOP @VileIslam 'When the Muslim population in a region reaches a certain.. point, the agitation begins..'",1,twitter,English_CB,y,
imagine me cuffing the girl u bullied in high school.. :/ sad to see..,1,twitter,English_CB,y,
"A girl that used to bully me in high school does this. This chick used to say I was ugly, fat, and no one would ever want to date me. Homegirl posts this stuff all the time and attempts to comment on mine. girl, bye. Oh, and she talks about her kids getting bullied.",1,twitter,English_CB,n,
RT @AustinRaySmith: @YesYoureSexist I don't think women can make tough military decisions. Notice Hilary's face during the Bin Laden raid h…,1,twitter,English_CB,y,
Niggas is stupid as fuck. He not even Mexican dumb ass nigger,1,twitter,English_CB,y,
@Itsry4nn: KICK ME OUT THE DECK AND THIS IS WHAT YOU GET YOU DUMB NIGGERS FUCK NIGGERS wtf?¿,1,twitter,English_CB,y,
"this might be completely rude, but there’s something so satisfying about watching all the girls who bullied me in high school get fat while i just get hotter",1,twitter,English_CB,n,
@ArarMaher Kind of the same thing the prophet Mohammed did.,1,twitter,English_CB,y,
All my homegirls know they aren’t to say it around me. But they can say whatever they like when I’m not there. I’ll only call a female a bitch if I truly don’t know her name “that bitch over by park street”,1,twitter,English_CB,n,
@Lithobolos @PoliticalAnt @ZaibatsuNews ...Then suddenly their Muslim neighbors are persecuting them and stealing their property.,1,twitter,English_CB,y,
".@sassyismassey @tinylesbrarian Like it was their WEDDING SONG, you evil wenches! And now I'm fucking covered in FEEEEEEEELZ!",1,twitter,English_CB,y,
@Dreysander1 It took the priest a year to convince her to tell the cops. He served 5 years out of 20. She got 26 months.,1,twitter,English_CB,n,
I hate people who say I got this. In all honesty we don't have a damn thing.,1,twitter,English_CB,n,
"@TheAPGamer What is a ""Feminazi"" to you?",1,twitter,English_CB,y,
@chunniehsin karma for bullying @yingjiaaazxcxz hahahhhaha,1,twitter,English_CB,n,
"Well, Jerry Fakewell, Jr....is an Evil, Smelly, Radical, Lying, Religious Fraud! Christianity Today = Real Christians He &amp; Fraudklin Graham, Fraudla White, Jim Fakker, Evilgelicals, all who support the Orange Antichrist...aren't Christians &amp; would crucify Christ today!",1,twitter,English_CB,y,
