text,language,binary_label,source,platform,bilstm_pred,distilbert_pred,mbert_pred,xlmr_pred,ensemble_pred,error_type,error_category,notes
Acosadores: tE bOia dEnUnSIar La cOnCHa dE Tu mAdRe Dalas: ...,es,1,OffendES,youtube,1,0,0,1,0,False Negative,lexical trigger,
Que ganas de ir a Medellín y cascar a @bluxtay 😤,es,1,Colombian,twitter,0,0,0,0,0,False Negative,implicit,
"Esta se hizo famosa por mover el orto en el programa pasión de Sábado que se transmite por América TV en Argentina, era una de las que tenía mejor Papo, ahí comenzó a putear. Que hueca encima hace cuentas falsas con el nombre del marido jajajajajja",es,1,OffendES,youtube,1,0,0,0,0,False Negative,implicit,
@JuanSGuarnizo entonces juan es drogadicto alcolico y agresivo pero no lo quiere demostrar? lo digo por el personaje de rub xd,es,1,OffendES,twitter,0,0,0,0,0,False Negative,ambiguous,
Oye tu tío deja de joderle la vida a la gente tu tío de de chup** bolas a la gente que crea contenido si a ti te molestan te sentirías como ellos tío cuando ayudas a la gente está bien pero molestarlas no tío no,es,1,OffendES,youtube,1,0,0,0,0,False Negative,label_noise,
Nos vale verga tu vida,es,1,OffendES,youtube,1,0,0,0,0,False Negative,label_noise,
Caya rctm burlándose de Perú ni gracia da tus memes ahy quiero conocer Perú caya conchatumadre,es,1,OffendES,instagram,0,0,0,0,0,False Negative,lexical trigger,
“La literatura no es asunto de mujeres y no debería serlo nunca”. Esto le respondió el poeta Robert Southey a Emily Brontë cuando ella le pidió apoyo para su escritura.,es,1,ES_chileno,twitter,1,0,0,0,0,False Negative,other,topic association - gender
"Es que eres ..., como donas 3000€ en twitter a personas sin saber quienes son, en vez de donar 3000 euros a familias pobres o a ONG, o a la ciencia para que ayuden a la busqueda de la cura par a el cáncer de mama u otros tipos de enfermedades, no se si creerme lo de que le ha llegado a esa supuesta madre y a ese supuesto hombre, pero en serio donar dinero por youtube o twitter es una estupidez, si tienen oportunidad de ver tewitter y youtube, no son tan pobres, hay gente que no puede ni ver twitter ni youtube, ni pueden comprarse un simple mobil, por favor ten un poco de cabeza, esto es una crítica constructiva de un español, por cierto hay criticos que te insultan, te dicen pu**, zo**, y no son españoles, lo que tú dices es racista e hipócrita.",es,1,OffendES,youtube,0,0,1,0,0,False Negative,lexical trigger,
¿cual es el dia de la mujer? -El dia menos pensado-,es,1,ES_hateval,twitter,0,0,0,0,0,False Negative,ambiguous,
Dalas subió una foto haciendo esto 👌 Ahora Dalas significa para mi esto: DALAS=PUTA :V,es,1,OffendES,instagram,0,0,0,0,0,False Negative,lexical trigger,
Que puto tipo de aberración es esta... Madre mía cuantos sacos de manteca se ha comido y esa forma de maquillarse y vestir... Jajajajajaja ASCAZO,es,1,OffendES,youtube,1,0,1,0,0,False Negative,implicit,
miare cuando no era prostituta,es,1,OffendES,youtube,1,0,0,0,0,False Negative,label_noise,
Cuanto más va a tardar en admitir que nadie le importa? Este Jpeligrosa,es,0,OffendES,instagram,0,1,1,1,1,False Positive,ambiguous,
"Porque solo tú eres la odiada por hablar de Rubius? Hombre, pues tal vez porque lo estuviste molestando a tal punto de que si de por sí ya te tiraban mucho hate ahora con toda la polémica que TÚ ocasionarte hiciste el problema aún mayor y en lo más mínimo tiene que ver porque seas mujer, ya deja de agarrar manías de Lizbeth Rodríguez hasta en hacerce las víctimas les sale a ambas No es humillable imitar bailes de fortnite, humillable es que fuerces tanto el baile que quieras hacer notar tus nalgas y las tetas, ahhhh pero si pide disculpas porque le botan cuando en Tik tok hace exactamente lo mismo",es,0,OffendES,youtube,0,0,1,1,1,False Positive,other,direct address
Huevon no es weon,es,0,OffendES,youtube,1,1,1,1,1,False Positive,ambiguous,
"No es franco, ni es cristo, es dalas que publica un roust sin filtros",es,0,OffendES,instagram,0,0,1,1,1,False Positive,other,direct address
Mierda,es,0,OffendES,youtube,1,1,1,0,1,False Positive,lexical trigger,
"EL IDIOTA FELIZ: Socilaista sí, pero no bobo",es,0,Colombian,twitter,1,1,1,1,1,False Positive,lexical trigger,
Cómo me van a dañar el polvo así. Gonorrea ome gonorrea.,es,0,Colombian,twitter,1,1,1,1,1,False Positive,cultural,
"Pues anda que no es fantasía su videoclip de Judge Me, las caras que pone y el sin sentido general. Pero eh! que ahi no se enrolla con una momia. Noooo!! ahi la vas a ver morreandose con una negra de su edad.",es,0,OffendES,youtube,0,1,0,1,1,False Positive,implicit,
Tirenme haite pero ponganse en El Lugar de Ella pobresita a mi me caia Mal pero me di cuenta q Ella es alguen normal solamente q ustedes critican por selos >:V y no no tengo 6 años tengo 13 por see asi pobresita y so su Risa es falsa pero no importa,es,0,OffendES,youtube,0,0,0,1,1,False Positive,other ,direct address
"""Abuelitos cantando viva españa"" y sale un señor haciendo el saludo nazi.... Xd",es,0,OffendES,youtube,1,0,1,1,1,False Positive,other,word Nazi may have triggered
Callate no puedes aser esto con esa chica si tiene razón no manches windy no hables de ella q rabia das windi,es,0,OffendES,youtube,0,1,1,1,1,False Positive,ambiguous,
Que falsa risa,es,0,OffendES,youtube,1,1,1,0,1,False Positive,ambiguous,
"ya deja a la Kendall no te merece, y te hace parecer bobo",es,0,Colombian,twitter,1,0,0,1,1,False Positive,lexical trigger,
