text,binary_label,language
@eduardbcnx @Tony_Lantes Ahí sería un villano máster mind all estilo de Sherlock Holmes,0,es
"4⃣ Applied Artificial Intelligence. @tandfonline 
Se enfoca en la investigación sobre inteligencia artificial, incluyendo aplicaciones para resolver tareas de ingeniería, administración y educación, y evaluaciones de sistemas de IA.
https://t.co/TmSXjYg671 https://t.co/koozmO0jPg",0,es
"📣Eres #Autónomo o #Pyme? Inscríbete a las #Jornadas🚀

👉18/04: #Inteligencia #Artificial para Pymes y Autónomos📲https://t.co/m6HCX18MXl

👉25/04: #Neuromarketing: vender a través de emociones📲https://t.co/ouM7AlvRgO
 
 #NextGenerationEU #PlanDeRecuperación #EspañaDigital2026 https://t.co/FOyZKgF0p3",0,es
"“Te metés adentro de las personas por más que no quieran, no se dan cuenta. La información que brinda para el diseño de una campaña electoral es muy valiosa. Te metés en la intimidad de una persona; algo que nunca te contaría o jamás figuraría en una encuesta, lo sacás de ahí”",0,es
"@SduenasV ¿Cómo se nota cuando caminas sin patear hormigueros ya, ¿verdad?",0,es
"En el caso de ChatGPT el problema es calcular que palabra puede quedar bien dado que ya tengo estas otras palabras. Es decir, va formando una oración, calculando la probabilidad de que una palabra sea usada en el siguiente paso y que sea coherente con lo que tengo hasta ahora",0,es
"@Co_se_tte @AndyStalman a medias, yo le he dicho lo que quiero, el escribe…",0,es
"@colarosada1 @AnaelGlezHdez @GuachiChispas @LaReimers @EASPORTSFutbol @Konami Déjame adivinar....techo de lámina, verdad?",0,es
@romigonzalezd JAJAJ ayy nooo,0,es
Le he pedido a #ChatGPT que me hiciese una cartera de 10 acciones teniendo en cuenta las tendencias tecnológicas del futuro y aquellas empresas con mayor probabilidad de crecimiento. ¿Qué opináis de su recomendación? ⤵️,0,es
"Aquí hablamos sobre ""La solución final"" que proponen los tech-influencers (STOP #IA?) Oh, lord. 
https://t.co/ASngjdq3Og",0,es
"¿Quieres entender de cálculo y álgebra lineal? 3BLUE1BROWN

https://t.co/0o4ms81NIW",0,es
"👨‍🏫Altszyler es investigador del Laboratorio de Inteligencia Artificial Aplicada de la UBA-CONICET, y Director de AI en GetGloby. Su área de investigación se centra en la intersección del PLN y su aplicación para el estudio de las ciencias sociales. https://t.co/uB36GLHWHb",0,es
"@carlesplb @antonello No está muerto, solo se han equivocado en el cómo y el cuando y el quién.
La guerra de estándares.",0,es
"Además, el CES busca ser el referente de los abogados más modernos y profesionales de la región, que buscan estar a la vanguardia de los cambios legales y tecnológicos que transforman la sociedad. #CES #DerechoSocietario #Latinoamérica",0,es
"Cambridge establece nuevas reglas en cuanto a la ética aplicable en trabajos de investigación, libros y otros trabajos académicos, incluida la prohibición de que IA sea tratada como un ""autor"". 

#ChatGPT #IAGenerativa https://t.co/1Dyqxkm4a2",0,es
"🟡 Ahora mismo

¿Detener el desarrollo de la Inteligencia Artificial? Webinario +Innovación -Regulación, con Emilio Saldaña @Pizu.

⏰ 7 pm de CDMX

Proyecto conjunto con la red internacional @LatAmInnovacion

Véalo en directo aquí:
https://t.co/B3Hm5pXNwO https://t.co/nQUSZdVHbX",0,es
@minipetite Eso es un if statement.,0,es
Para este ejercicio de #InteligenciaArtificial y escenarios futuros abordamos el tema del uso excesivo de motos en la ciudad de San Juan de Pasto. Con ayuda de la AI vamos a crear una linea de tiempo que nos lleve al año 2050. https://t.co/Gp3AYIgP0R,0,es
@DotCSV Qué opinas profe @MigueGaspar ?,0,es
"Expansión, Alejandro Galisteo Domingo.

#DataPrivacy #ChatGPT #GenerativeAI #AI #Cybersecurity #Risk #Compliance",0,es
🎨🛠️ Ahora pidámosle que le ponga algo de diseño usando el Framework de CSS Bulma. https://t.co/Lxg4U6nOEV,0,es
@j_rodero @mikeljanin @elconfidencial Lo es si entiendes cómo funciona,0,es
¿Es efectivo aumentar las penas para prevenir los delitos?,0,es
"ChatGPT, útil bajo control https://t.co/mBjQPm64r5 a través de @el_pais",0,es
