text,binary_label,language
Tonight peda segura,0,es
Yo kiero Pretzels lol,0,es
Ke me compre un carrito pa irme con mis friends and party lol,0,es
Why can I just find a rich bitch ke me mantenga y ya ha,0,es
Tengo hungry mhm,0,es
Teachers be staring at me like im high they gotta accept my eyes parecen de camaron,0,es
Bien fatass ha,0,es
@Nathaliaa_Bitch lmao yeah sure el tuyo parece ke te lo iso un lil kid,0,es
@Gaaybee ha do n't lie los mios bolian a febrezee xD,0,es
Should I give oomf the candy nawh mejor me lo como yo lol,0,es
I was gonna buy summ spur gumn for oomf but then I remembered that shes on a diet so mejor no lol,0,es
Cuzs today I swear I 'm not doing anything nothing at all fui fui fui,0,es
Is your name sabado cuzs that ass is gigante lol,0,es
Came to buy a torta and una gordita for my bro,0,es
De ke te kiero te kiero pendeja pero rogarte ? Ha ni ke estuvieras tan Buena ;),0,es
Just woke up De my nap w itzayana,0,es
Kuando me vaya a LA or mexico IMA take my queen ❤,0,es
Chillin en el apt con yazmin y lesly,0,es
This guy made cookies other one made tamales other guy made cookies another guy made mole a girl made fresas I made ensalda De pollo,0,es
@GBalderramah lol lo ke sobre the llevo,0,es
Tragando tamales in class lol,0,es
And maybe me llevo a la nohemi al restaurant ha,0,es
Me viera agarrado algo but I never thought me me iba ablar,0,es
My phone looks ratchet todo crack,0,es
Finna go a McDonalds con la nohemi,0,es
Nohemi cook for me summ kesadiyas >>>,0,es
Escapate te doy 2 mins aki estoy afuera ♥,0,es
Mhm no wonder why they used to call me changa when i was lil,0,es
Me Interesas by noel torres >>>>,0,es
Or mejor I go to my brothers house,0,es
Vayanse alv ha I got all kinds of color pants,0,es
But I told jaime ke iba ir a su house to play xbox,0,es
No la buskes hija muy bonita por ke al paso del tiempo se le kita - my dad lol bien gay,0,es
I brought the sueter my gma gave me ♥ form mexico lol,0,es
I made tostadas for me and her and she 's makin sadwiches lol,0,es
Nomas kuzs mis tattoos,0,es
Pero chill a nigga still single I already explain to her watt I mean,0,es
Lmao la mom de yazmin me dijo ke me oigo bien mamona lol,0,es
I gotta do ensalada de pollo for my English class lol,0,es
The fact that my cuñada is the boss >>>>,0,es
14 more mins pa ke ya me vaya alv,0,es
Nomas te kieres creer bien important npw,0,es
You know I miss u so why I gotta text u I miss u if u already know tampoko te emociomes lol,0,es
I do n't accept both of yalls dare no no no el coco no,0,es
I always go to sleep w a t-shirt del same color de mis boxers that 's just me,0,es
Me and nohemi are waiting for everyone to go to sleep so we can male summ arroz con leche lol,0,es
We got on the horse w summ teddy bears and un alien parecia ke llevavamos toda la fam lol,0,es
What about me and u go to kemah again y nos subimos al caballo lol,0,es
@YaretzyOrtiiz lol nomas pokito ha,0,es
Ni me akordaba lol,0,es
Tomorrow i gotta work and todavia ando en el pedo lol,0,es
Waiting on my cuñada so she can pick me up to go to work,0,es
Well aver ke,0,es
Lol ya ni yo,0,es
This teacher tellin us we gotta get amrry before aflojar la tortilla,0,es
My dad got summ tamales,0,es
Alguien se comio mi torta Lol,0,es
Y de pasada las eyebrows,0,es
But the her mom told us to stop cuzs nos ivan a cachar lol,0,es
I did n't went to 1 and ya se me iso tarde to go to 2 mmmm,0,es
I mias chavez rt,0,es
50$ por un VIP lap dance,0,es
El guy ke esta atras de mi ta heart broken,0,es
I need otros 3 months and then maybe,0,es
Kuzs I mean nomas tengo like 1 month single,0,es
In class toda sleepy,0,es
1 . Ke they accept me en la milby 2.ke medieron una shot and me andaba muriendo & 3.ke me acabo de caer del techo lol,0,es
Ima go w gma rn a contarle el chisme,0,es
Pero ahh idc,0,es
Me pase de verga lol pero I was just trying to be funny,0,es
Finally se kedo viendo la novela and no anda de metiche lol,0,es
Pero nadie la conoce mas ke yo lol,0,es
Nomas la cara la tiene de niña buena lol,0,es
De tekila si pero de los otros no lol,0,es
Ya no kiero ke me den shots,0,es
@anitaaa___ pura yolo life lol,0,es
Can yall like plis help me find her cuzs ni la konosko,0,es
Everytime ke me awito I got a bottle of tekila me echo un tragiyo pa calmarme,0,es
My fam me manda alv cada rato then they wonder why I 'm like this,0,es
Finna take a shower and go pa ya meterme a la skool,0,es
Yazmin es mi consejera and she tells me wutt to reply,0,es
Jk jk yo mo miro eso,0,es
Y No invitan smh lol,0,es
Aver si cae un party tonight,0,es
Se cree muy sexy con su cookie monster bra lol,0,es
Ima try to stay single por un year aver si puedo,0,es
Well not now lol maybe en unos 5 months,0,es
Pero do n't worry I ai n't gonna try to get her back,0,es
A dar la vuelta kon los hommies,0,es
Conke me de el money lol,0,es
Lol noemi me reta and yo le ago caso,0,es
No se puede poner songs o ke,0,es
Like ni kien te ablando de ellas,0,es
Pasame la botella voy a beber en nombre de ella lol,0,es
A la gma se le kemaron los buñuelos lol,0,es
Still here en la casa chillin,0,es
Cuzs me dormi bien early a las 7,0,es
Ya no me dan celos antes me enojaba bien feo lol,0,es
Oh ya me akorde lol,0,es
Ya manana back to h town,0,es
Ya me dijo so ya idc,0,es
And then me dice ke me peine,0,es
Amm idgaf no andaba kon niuna,0,es
Hay palabras ke no dicen nada y borracheras ke lo dicen todo lol,0,es
De lejos me extrañas de cercas me chingas lol,0,es
Ayy me mando alv la girl de kemah lol,0,es
Ke vamos ir a ver los tigres del norte lol,0,es
We all hoeing around ya no se puede lol,0,es
Uta ke nos van a invitar a calibre 50 npw lmao,0,es
Wtf lol ok ya ima drink summ water pa ke se me pase,0,es
"I said "" me kiero echar un churro de mota """,0,es
Ni duchi gavana ni shanet ni el mas dulce aroma lol,0,es
Aunque tenga cualidades y lo quieran en tu casa aunque tome con medida y en su house tenga terraza,0,es
Osea hello,0,es
Cuzs damm idk me entro curiosidad,0,es
Fui legal ....,0,es
Watchin movies de narkos w this punks,0,es
And la food ke me asian lol,0,es
So I guess no vamos a ir ala virgen today,0,es
I dont feel like going a la disko pero ya les dije ke si,0,es
Just woke up otra vez,0,es
This cruda <<<<<,0,es
Tomorrow going a la virgen w my people,0,es
Y yo todavia aka w my people,0,es
Nvm hoy no abren,0,es
So finna walk our asses a la panaderia lol,0,es
Pero I 'm not goung to sleep till the sun comes out,0,es
Do n't put tragos de amrgo licor cuzs ayi si ya valio y me acabo la bottle,0,es
And then regresarme aka con la banda,0,es
Aveces namas me kiero poner tape and abrirmelos,0,es
@Destinnny___ lol nada ya I 'm calm,0,es
@Destinnny___ lmao y ay vienes tu -.-,0,es
yo como con frijoles salsa y huevo y las flores que te llevo las corte de mi jardin #jammin #pistiando #0awite,0,es
Kuando me enojo se me calientan las orejas idk why,0,es
Tiene puro porn,0,es
@EzKarla ay te miro lol,0,es
@EzKarla ahuevo dijo el perro lol,0,es
@EzKarla ya estas lol,0,es
@EzKarla prestamelo lol,0,es
@EzKarla lmao 1.25 $ o ke pedo,0,es
@EzKarla lol prestame una,0,es
@EzKarla en el camaro lol,0,es
@EzKarla lol pos pa la otra nos vamos a un house party ya sabes,0,es
@EzKarla lol ya estas and claro,0,es
But hopefully agarre mil baros al rato,0,es
Nvm 40 pesos but still,0,es
Dijo el guayabo el maldito vicio lol,0,es
Ate a taco pirata but all I really want is some tacos de vallehermoso !!!,0,es
@erikaamandaaa jajaja no you do n't cause you know nothing lol,0,es
Quesadillas and the originals >>>,0,es
Both of my sisters know the lyrics to 500 balazos better than me lol pinches chuntaras,0,es
Got my income done new time for class jaja,0,es
"Ironing my shirt so I can go do my income , go to school and then head of to work jaja",0,es
El hotel miramar is going to get some serious business after this,0,es
What ?!?!?!?! That caught El chapo ??,0,es
half way done with my parts jaja,0,es
Watching a narconovela after working out haha #else ñordeloscielos,0,es
That was the scariest 2 hours man jajaja,0,es
@prisybarrera11 lol andale por borracha :p jajaja,0,es
Me i want was coming to me ....... the world chiko and everything in it ...,0,es
The eyes chiko ..... they never lie,0,es
Holla atcha boy !!,0,es
@be_OSO_ar he surprised me man Ni yo Ni mi jefe lo conosiamos,0,es
@be_OSO_ar forreal wey i thought her was better than that ! collazo es un callejero man that fool can fight !!,0,es
hoy vas a conquistar to lo que perdiste,0,es
@erikaamandaaa jajaja lies you always lie !!,0,es
@Cindyy06 I hope it gets better by tomorrow for tios party,0,es
should i go workout ?? or take the day off jajaj,0,es
@ThatGirlYahs lol i hope you havent gained too much weight when i see you tomorrow cause of chipotle XD,0,es
@ThatGirlYahs nooooo !!!!! :( okay okay i got it !! buy me one like an hour before we get there :D jajaj,0,es
"and i speak Spanish , conquistador blood in me",0,es
@PresshDestiny its not smooshy its moist lol ay precious maybe you just havent had the right kind of tres leches or chocoflan,0,es
""" Fuck it ill be a stripper no me awito "" lol",0,es
My prima es una narkia jajaja @ThatGirlYahs,0,es
La La Na Na Na Na Na Do n't trip asi se va,0,es
Lol turns out one of the girls from the planchas kiosk at the mall is related to me jajjaa es PERRETT !!!,0,es
@JRO_TRILL ora jajajj yea man I need to see what 's up with the cuz first but I 'll let you know,0,es
@JRO_TRILL ma nigga !! Like I said bro get a mixtape ready and I 'll see if I can make some moves potna,0,es
Do n't trip asi se va,0,es
Just kilt that machacado mom made,0,es
@ThatGirlYahs pos igual yo !! I work on the first -_-,0,es
need to go pick up my car from tia almas house right now since my drunk ass couldnt drive last night lol,0,es
@PresshDestiny jajajajjaj why ???,0,es
And tomorrow going to the pulga to get my remote fixed and finally buy the headlights my car needs jajaha,0,es
"I wish I had more money . ..... better yet , ima go and get more money jajaja closing shift again tonight",0,es
Un highball pa descansar despues del jale de hoy,0,es
I need a girl I can talk with all day like I used to jajaja,0,es
IM JUST SOOOO TIRED RIGHT NOW JAJAJ,0,es
I need a shot of tequila or a glass of scotch to keep me warm right now,0,es
damn mexico playing onpoint right now #ElTri,0,es
@ThatGirlYahs dude yes prima !!!! Lol fuck it stay 2 weeks !!,0,es
Some champurado would go off right now,0,es
yo my potna putting out some trill jams representing the H and the Valle #JRO,0,es
got a 2 liter i aint talking coca cola,0,es
Some random ass guy just asked me que si soy la mentada chaparra de la gavia ... 😂 😂 😂 😂,0,es
"@Lagueranation lmaoo right !! Mi cunada siwmore me dice "" Fabii how can you walk in these huge things "" its not that damn hard lol",0,es
@Patty__Vel pos duhhh,0,es
@Patty__Vel you know its true mi pato !,0,es
@Elmagnet_21 no you did lol you were with my cousin pero ta traivas cerveza en la mano so i wouldnt doubt you were lost lol,0,es
@Elmagnet_21 no era early you were getting tacos and i was behind you in line,0,es
@Elmagnet_21 me tooo aver si si lo veo ! Cause i dint remember seeing you all last summer !,0,es
@Elmagnet_21 ohhhh lmfaooooo i gett it . Srry como que me dio un blonde moment,0,es
@Elmagnet_21 @Patty__Vel ummm chuy ? What does minimo actually mean lmfaooooo,0,es
@Patty__Vel muy apenas me dejan salir con el brother !,0,es
@Patty__Vel @Elmagnet_21 if he wants to be the girl in this situation then hes included cause hes ratchet lmaooo jk zero que ver !,0,es
@itzel5295 que se vaya a chihuahua al baile lol con toy la de blanco !!,0,es
@acarrera3 yea and im saying he dont have bad taste nomas last sunday se le pasaron las copas yo creo,0,es
@yeliv24 omg y si pero tu cuenta hows it going doea he still go visit you lol ?,0,es
@yeliv24 de nada . Esque se me olvido cause juan doesnt tell me abt his love life y los otros si,0,es
@acarrera3 de nada gutts nomas que dale classes al otro,0,es
@acarrera3 es okay lol but its true my niggah,0,es
"@SilvaVaneza8 eso es lo que dicen ... mine was "" algo chiquito "" lol",0,es
@SilvaVaneza8 so si te van aser ?,0,es
@VanessaMarines lol okay pues !!! Me dejas saber . DUDEEEEE you guys leave in two weeks no ?,0,es
@VanessaMarines te vienes tu cause my momma wrks !,0,es
@VanessaMarines yea aye mas o menos we jst got him last night so todavia no lo conosemos bien ! You need to see him before he gets big tho !,0,es
@95Caldera we got a new friend for chuchete !!!,0,es
@VanessaMarines lmaoo eso si ! No but hes barley two months so hes fricken crazy ! And del rancho where the weddings gonna be at,0,es
@ocinddy yess haha 👏👏👏👏 pero que les vamos aser ! 💁,0,es
Y eso que only my tia oti and them were here imagine if all my uncles were here !,0,es
Waking up and seeing an hacienda vieja all gone y otra more then half way gone !,0,es
"She asked me "" Mija me puedes limpiar la cocina esque no a dormido "" of course ma there is no need to even ask 😢",0,es
She wakes up at 4am wrks from 5:30 - 3:30 and then at 5 se va trabajar al otro a doesnt get home till 11 !,0,es
"Dijo mi pa "" lo que causa ser el baby de la casa "" but then again el la consiente mucho !",0,es
Marlenesita better not open tht in front of manny or her dad si no me mato lol,0,es
@ArisR_xo y me quedo bien grande !!!! I struggled all day till my cousin kary and her mom figured a way to keep it up lol,0,es
I havent ate anything since i got home pero bien que me eche mi cafe !,0,es
Y nada de fat puro muscle 👌,0,es
Honest to god while all my quinceanera planning was going on delgaze mucho i went from a size 2 to a size 0,0,es
@delatorregee de nada chula (: i miss you !!,0,es
@marlenevd5 opps to late amorss,0,es
@msandoval_98 omg forreal desde like october no ?,0,es
@msandoval_98 lol eso es lo bueno de tener novio haha but yea es mejor sentar se cause uno se ve mas mal andar asi que sentar nos !,0,es
But whatever shoutout to Roque por bailar me today !!! 👌,0,es
@Barraza__ osea pictures for daysss lol,0,es
@banana_valeriaa @Barraza__ @marlenevd5 no preocupaciones me and marlensita got this,0,es
@banana_valeriaa @Barraza__ @marlenevd5 most definetly well si voy cause mi dad dijo que si y luego que aver que most likely a yes but still,0,es
I finally get to see la valerucha !!!! 😄👌👅👏🙌💃,0,es
""" @banana_valeriaa : Zeroooo aguite ! 💁💁 """,0,es
@marlenevd5 aver si si remember tell your momma,0,es
But then again he tld my mom que quiere que nos lleve a renovar our passports ASAP !,0,es
Cause aparently he cant afford that banda ! Hora pa se les quite !,0,es
@Nayeli_Irianaaa omg i know i saw them hace rato !!!!,0,es
@SilvaVaneza8 de que bigbooty ?,0,es
@SilvaVaneza8 que ya el rancho nos esta esperando right bigbooty ?,0,es
I can only send them to him ! I dont care como me mire when i snapchat Poncho el tambien se ve pa la fregada lol jk jk,0,es
@Nayeli_Irianaaa es okay lol nothing but the truth : *,0,es
@Nayeli_Irianaaa nope nope its all on la chika,0,es
And I can never stay put !!! Sepa pero yo me siento al 💯,0,es
@acarrera3 algo por el estilo lmao,0,es
@acarrera3 only reason my dad se quiere ir pa aya haha,0,es
@acarrera3 like a Agapito supposly ya lo conosen en todos los casinos lmao,0,es
@kcarrera25 mann i miss those days lol ... but anyways como andas ?,0,es
@marlenevd5 nomas eres caprichosa but eso okay i can deal with it asi como you can deal with my crap sometimes : ***,0,es
Y luego from my dads side .. that was extra hard because i love and get along with every single one of them all my life ♥,0,es
@mlupita08 yea lol . Alexia always makes fun of me cause im short . Y siempre le digo que she wont be able to wear heels y se enoja haha,0,es
@mlupita08 pos sabe . But i wouldnt doubt it cause tambien los doctors le dijeron que shes aproximated to be like 5'6 or 5'7 y yo ya o cresco,0,es
