author,categoria,ciberacoso,texto,Unnamed: 4
TifM_,0,0.0,"Parce soltame ya, deja tu sapa hijueputa envidia",
"Afms1912
",2,1.0,Vendé a tu madre pa conseguir los 2.000 millones sapa HIJUEPUTA malnacida de mierda,
Monmibuenamor,0,0.0,SAPA HIJUEPUTA VIDA 😭😭😭😭😭😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭,
Dahorucini,2,1.0,SAPA hijueputa te odio,
"Rojo1DBoy
",0,0.0,"Quiero un caneco de aguardiente por cada color de tapa y un man que me meta una culeada muy sapa hijueputa, pero así que me deje mal.",
"VamosBoom
",1,1.0,"jajajaa reclamando respeto y mirele el vocabulario...jajaaj con razon les dan en la jeta y piden aceptación los ""normales"" jajajajaa",
"AFJR27
",0,0.0,¡Qué hijueputa desespero cancelar una sapa hijueputa línea de Movistar! ¡MALDITA SEA!,
johacas25,2,1.0,"y usted sapa hijueputa metida , que puta mierda va hablar,aparte de metiche, entrometida, hablando chorradas",
"GabberInd
",0,0.0,Que calor tan sapa hijueputa xd,
"Alicia64036390
",2,1.0,"🤫mujerzuela mejor deje de mostrar el rabo en publico, eso no la deja pensar 💭",
gordoycejon,0,0.0,"Como lo hizo sin sospechas y sin testigos, en qué momento esa sapa Hijueputa me convirtió en su amante 🎶",
"antologiaverde
",2,1.0,Vamos todos a putiar a esa gonorrea vendido sapa hijueputa,
Mcamuloz,0,0.0,Que sapa hijueputa rabia.,
"Mauro_722
",1,1.0,Llegará tu sapa hijueputa caída.,
"NebulaKash
",0,0.0,En mi sapa hijueputa vida vuelvo a buscar a alguien,
"st3ve_13
",2,1.0,PERRA SAPA HIJUEPUTA,
"_nesioj
",0,0.0,Una sapa hijueputa fiesta.,
"gordoycejon
",2,1.0,"Gabriella Montez? Sí, una sapa Hijueputa.",
"andretti_saigh
",0,0.0,La movilidad en cali si que se volvió mucha la basurada tan sapa ¡Hijueputa! En todo este chochal todos los semáforos de las cras y la Av  principales y la autopista la Simón Bolívar todos están dañados ésto si es el colmo de la desfachatez de la secretaria de móvilidad.,
AndresP1912,2,1.0,Sapa HIJUEPUTA,
Kvanessa_0425,0,0.0,"Hoy no almorcé, me desmayé, me dió una migraña ni la sapa hijueputa y ni siquiera podía caminar de lo débil que me sentía. No sé que fue, pero que gonorrea maluquera.",
JcamloGuerrero,2,1.0,Hablame claro pues sapa hijueputa.,
"AndresFKhalifa
",0,0.0,"Uy gonorrea, qué sapa hijueputa locura anoche 🥴",
Vgcj_96,1,1.0,LLEGARÁ TU CAIDA SAPA HIJUEPUTA,
Ramos20idolo,0,0.0,Esas llantas Michelin son llama puntillas oyó. Sapa hijueputa sal.,
"daleokentiendo
",1,1.0,Nos tenemos es que matar Sapa hijueputa,
JcamloGuerrero,0,0.0,Esa canción y se me reinicia la sapa hijueputa vida.,
"daleokentiendo
",1,1.0,De hoy no pasas sapa hijueputa,
Guille1324,0,0.0,"La sapa hijueputa Boda de ella? Si, tiene que ser la mejor",
"Jessilsd
",2,1.0,"Sapa hijueputa casi se lo come con la mirada, ofrecida, regalada.",
Guille1325,0,0.0,"Uy sapa hijueputa, me dolió la cabeza 🤯",
"Mcamilaar
",1,1.0,Por mi muerase sapa hijueputa.,
sebasmarquezz,0,0.0,En la sapa hijueputa vida vuelvo a comprar en Carulla.,
