text,binary_label,platform,audit_source,is_abusive,note
RT @BlizzHeroes: Proof that anyone can find love in the Nexus... Learn More&gt; .,0,twitter,English_CB_nonabusive,n,
"So she can try &amp; claim innocence, but statistics paint her as being someone to avoid. And I've been in her sights for a while. Oh well.",0,twitter,English_CB_nonabusive,n,
"For more egregious cases for harassment, we definitely need to be able to respond to those appropriately. But most toxicity isn't this.",0,twitter,English_CB_nonabusive,n,
"Bullying victims often suffer academically, particularly high-achieving blacks and Latinos #Psychology",0,twitter,English_CB_nonabusive,y,
@tomdcc accepting pull requests for better ideas that don't violate pseudonymity/privacy. &lt;3,0,twitter,English_CB_nonabusive,n,
Pointless to be in class today #naptime,0,twitter,English_CB_nonabusive,n,
"I'm spittin lyrical, hope it's gettin clear to you hopin that I appear to you....",0,twitter,English_CB_nonabusive,n,
@_BlackieChan wake up lovely :-),0,twitter,English_CB_nonabusive,n,
Loving the look of the fritters! #mkr,0,twitter,English_CB_nonabusive,n,
@AbuSaalihah1 @rConflictNews Hope we can get the two not working for the BBC back.,0,twitter,English_CB_nonabusive,n,
"What happened to all those friends in that car with her?“@eonline: Rebecca Black Drops Out of School, Blames Bullying",0,twitter,English_CB_nonabusive,n,
"lol at angry men writing me essays through Facebook messenger that amount to ""be nicer when you're being harassed""",0,twitter,English_CB_nonabusive,n,
RT @mwlauthor: #BSDCan has three proposals from women. All are good. Two of them kick hard-core kernel buttock.,0,twitter,English_CB_nonabusive,n,
tomorrow a long love poem i wrote for everyone and everything that has and does exist will be published on @shabbydollhouse :),0,twitter,English_CB_nonabusive,n,
@kimberly_abraha @tom_dodsworth @pinkdevil_1310 -.- judging people good Kim good,0,twitter,English_CB_nonabusive,n,
@fdgonthier @Patreon thanks! ;),0,twitter,English_CB_nonabusive,n,
"RT @mwlauthor: #BSDCan has lots of great proposals this year. Downside is, we're rejecting more than ever.",0,twitter,English_CB_nonabusive,n,
"RT @peteBREAUX_: Dessert so deconstructed, you have to go Coles, buy the ingredients and make it yourself #MKR",0,twitter,English_CB_nonabusive,y,
Those poor #mkr contestants having to camp &amp; cook for 200 for breakfast. Camping! Putting up a tent! Not staying in a cabin. Camping! Yuck!,0,twitter,English_CB_nonabusive,y,
It could be benign. But the hilarity of the situation is not lost on me.,0,twitter,English_CB_nonabusive,n,
I'm so angry! That bread roll alone should be AUTO EXHILE. #MKR,0,twitter,English_CB_nonabusive,n,
@MaxMayo77: love frat boy w/ soft long soles,0,twitter,English_CB_nonabusive,n,
"@PeerWorker yes. given that one group routinely posts mutilated bodies on twitter along with american passports, i'd say they are worse.",0,twitter,English_CB_nonabusive,y,
@GlamourFan1 And yet...,0,twitter,English_CB_nonabusive,n,
My pillows are super cold 😒,0,twitter,English_CB_nonabusive,n,
RT @SuzanneCarbone: Kel the butcher has never heard of these silly sausages on #mkr,0,twitter,English_CB_nonabusive,n,
"Dealing with journalists 102: Interviews are back and forth, not a monologue. Even if the interviewer is a woman. // @wadhwa",0,twitter,English_CB_nonabusive,n,
"Uh, can the call to ashran noise please be a little louder?",0,twitter,English_CB_nonabusive,n,
@captain_panties blackmilk.,0,twitter,English_CB_nonabusive,n,
"@nebrius are the responses bad? I've got the block list enabled, so I see nothing.",0,twitter,English_CB_nonabusive,n,
“@BayouBadBoy: @DCLAUDE87 university of Phoenix” yea son they will bully you at university Of Phoenix! Lol,0,twitter,English_CB_nonabusive,y,
"@RichardDawkins As a child, my parents sent us to Sunday School but I think it was so they had time on their own.I can forgive them for that",0,twitter,English_CB_nonabusive,n,
RT @lennyfinnegan2: @YesYoureSexist it looks like somebody made this pointless account to get thrills out of telling complete strangers the…,0,twitter,English_CB_nonabusive,y,
"Yeah, I get threats. And it means I have to be cautious. But really, I'm crazy enough to think I'm unbreakable, which is why this works.",0,twitter,English_CB_nonabusive,n,
"Money is the smallest part of success in tech. It's about accomplishment, connections, and rep - all of which wadhwa hides from women.",0,twitter,English_CB_nonabusive,n,
@yhdjgdjhyghghgj Thanks. I'm glad that all the genocidal Daesh slavers were cleared out.,0,twitter,English_CB_nonabusive,n,
#OMFGOD she didnot just pick shit out of his teeth fucking gross #MKR,0,twitter,English_CB_nonabusive,y,
Christmas classics on ABC Family &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,0,twitter,English_CB_nonabusive,n,
@semzyxx It's total BS. I've seen the attempts to derive Ashia's age using other events. That effort produces about five different ages.,0,twitter,English_CB_nonabusive,n,
@NewsCoverUp @RJennromao @GBabeuf @DavidJo52951945 @Novorossiyan @gbazov @rougek68 Russia's army of internet trolls,0,twitter,English_CB_nonabusive,y,
I kinda reallllllly want a magnetic implant in my fingertip now.,0,twitter,English_CB_nonabusive,n,
"RT @ChuckNellis: You can't believe a word daesh says, the hostages were all dead while they were supposedly negotiating for their release. …",0,twitter,English_CB_nonabusive,n,
#MKR is making me feel all stabby right now. #Sassy,0,twitter,English_CB_nonabusive,y,
"ummm, @Channel7 isn't #revenge after #mkr not #htgawm #howtogetawaywithmurder which I thought was on Tuesday's? I'm confused by that. ugh. 😰",0,twitter,English_CB_nonabusive,y,
#TwitterFamousWhoFollowMe @ItsAkmal &amp; he's my classmate too :) haha !,0,twitter,English_CB_nonabusive,n,
Things that take longer than the Cricket World Cup.... #MKR,0,twitter,English_CB_nonabusive,n,
"RT @Witchsistah: The Entire History of Anti-Racism, from My Birth To Now #TimWiseBookClub",0,twitter,English_CB_nonabusive,n,
Katie and Nikki better not get a point for every time they said 'we're pretty' #MKR,0,twitter,English_CB_nonabusive,n,
RT @erinmcunningham: A Marine who lived on and worked at al-Asad base on the overhyped reports it's about to be overrun by ISIS,0,twitter,English_CB_nonabusive,n,
There's still a few teams that need to be voted off the island #mkr,0,twitter,English_CB_nonabusive,n,
