text,binary_label,language
"Toda esta pandemia va más en el auto-cuidado, sí no quieren cuidarse es porque le importa un pico todo. ¿cuarentena? sí después vuelven a la misma tontera :/",0.0,es
Eres socialista? Del psoe? LINK,0.0,es
@USER No es necesario decir las/los. La gente normal entiende que cuando dice “los constituyentes” incluye a hombres y mujeres.,0.0,es
Sol español y africano. LINK,0.0,es
Gobierno defiende expulsión de inmigrantes: #CooperativaEnCasa LINK LINK,0.0,es
y que queri que la reviva ctm? LINK,0.0,es
Si petrosky no está borracho o enguayabado está en Cuba en sesión de brujería con la espada de Bolívar! La misma que uso Chávez en Venezuela para sus cochinadas!!!,0.0,es
@USER @USER Los dos son comunistas terroristas.,0.0,es
"Ui, Arrimadas... No has vist que la majoria catalana és independentista?",0.0,es
"@USER Fachos only, quizás",0.0,es
"Y encima tiene que leerlo; pues no es capaz de exponer una idea “tan compleja” de corrido, ya que ni siquiera la entiende. 
Salvador Allende estaría orgulloso de este sujeto: sugiriendo fijación de precios; ignorante, prepo y gritón.

¡Qué vergüenza que represente a la derecha! LINK",0.0,es
"Los drag kings ? que parodian la masculinidad más rancia para enseñarte lo absurda que es tu idea del género ?

#Fan #DragKing #ContraElHeteropatriarcado #FelizSábado  

LINK",0.0,es
"Weones alumbrados sin humildad intelectual y empiezan a chamullar sobre conocimiento que no tiene, sobre todo cuando aparece una mujer experta en algo. Salvo que sea un hombre trans, lo típico es cuando chamullan sobre la menstruación. LINK",0.0,es
"1. ""Histérica socialista"". ¿Dónde Greta ha dicho que es socialista?
2. Ya ha hablado de Australia
Pero bueno, lo del mundo son las #FakeNews
3. Es dizque licenciada en Filosofía. Ajá.
4. Es de ya saben dónde... LINK",0.0,es
"@USER Puchas rulitos, cuando una se paraliza es así y después se viene el ¿Porque no hice esto o lo otro? Espero logres convencerte que la reacción es solo eso, reacción. El culiao se merecía que le cortasen las manos y la verga, ya alguien lo hará.
Te abrazo apretao",0.0,es
"@USER @USER @USER @USER @USER @USER de un chavalito que era musulmán pero era gay, parece que lo pillaron en un renuncio, y ante la amenaza de su familia de echarlo de la casa, y para reivindicarse como hombre, no tuvo idea mejor.. que presentarse en una comisaria de los Mossos..",0.0,es
JAJAJAJA has la pega en la cancha tonto saco de weas LINK,0.0,es
Ruta de la Luz lleva a cabo 654 revisiones visuales en el sur de Senegal LINK,0.0,es
"@USER El gobierno de Biden y su partido están fomentando crisis sociales, económicas, civiles, políticas, de inmigración y constitucionales dentro de EEUU\n\n\nSi se fijan, todo lo relacionado con la ideología del género, cambio climático, el aborto legal, el racismo etc todo viene de EEUU",0.0,es
"@USER BÁJATE DEL PONY @USER!!!

NADIE TE DEFIENDE PORQUE TUS ATAQUES FUERON A MUJERES, HOMBRES Y TODO EL QUE NO TE CREA...

NO TE MOLESTAN POR SER MUJER, SINO POR SER FALSA

UNA MUESTRA?
⬇️⬇️⬇️
LINK",0.0,es
No veo mujeres y niños entre estas familias de INMIGRANTES. 🤔 LINK,0.0,es
".... Doi Moi chileno, como hicieron políticos vietnamitas comunistas LINK y han trabajado con seriedad por su país y dejaron de pensar en beneficio propio. Es de esperar q los comunistas chilenos desde ahora también lo hagan, programa @USER @USER",0.0,es
Mi negra porque te fuiste a vivir tan lejos 😕 Me hacen falta tus palabras 😢😢,0.0,es
Morales culiao la otra vez hizo la misma #VamosColoColo,0.0,es
"Muchos no vemos TV basura, cero aporte, cero objetividad, cero cultura y educación a la gente ( economía domestica, leyes, derechos y obligaciones ) por favor díganme que aportan aparte de Farándula y cahuines varios, dar tribuna a candidatos zurdos sin preparacion, eso si hacen. LINK LINK",0.0,es
@USER 47.28% de un 25% del padrón electoral? Seguiremos teniendo payasos en el Congreso 🤦🏻‍♀️,0.0,es
"@USER Es un subnormal espero q al final de temporada a la calle , Quique setien estaría bien y siempre a… LINK",0.0,es
"Esta no era la cuenta que trató de pobres weones a los trabajadores con bajas remuneraciones, pa las votaciones? Wau. Punto aparte, creo que la culpa de perder es de ella misma, la autocrítica siempre es necesaria. LINK",0.0,es
@USER Por esta gente a los de izq nos tratan de payasos,0.0,es
@USER @USER @USER @USER callate hijo de tu puta madre,0.0,es
JuntsxCat se sitúa como primera fuerza independentista LINK,0.0,es
"Tantos inmigrantes senegaleses y gambianos que hay en España, la necesidad de legalización de documentos que hay, tanta cola al día coger entre 20 y 40 no soluciona este tema. Menos discursos y más recursos @USER.",0.0,es
